latex,ex,t1_2,i,m_nm,z
$^{1}_{0}n$,0,10.6 m,1/2+,-1.9130427(5) d,0
$^{1}_{1}H$,0,stable,1/2+,+2.79284734(3) d,1
$^{2}_{1}H$,0,stable,1+,+0.857438228(9) d,1
$^{3}_{1}H$,0,12.33 y,1/2+,+2.97896244(4),1
$^{3}_{2}He$,0,stable,1/2+,-2.12749772(3),2
$^{6}_{3}Li$,0,stable,1+,+0.8220473(6),3
$^{7}_{3}Li$,0,stable,3/2-,+3.256427(2),3
$^{8}_{3}Li$,0,842 ms,2+,+1.65340(2),3
$^{9}_{3}Li$,0,178 ms,3/2-,3.4391(6),3
$^{11}_{3}Li$,0,7.7 ms,3/2-,3.668(3),3
$^{9}_{4}Be$,0,stable,3/2-,-1.1778(9),4
$^{8}_{5}B$,0,0.77 s,2+,1.0355(3),5
$^{10}_{5}B$,0,stable,3+,+1.80064478(6),5
$^{11}_{5}B$,0,stable,3/2-,+2.6886489(10),5
$^{12}_{5}B$,0,20.4 ms,1+,+1.00272(11),5
$^{13}_{5}B$,0,17.4 ms,3/2-,+3.1778(5),5
$^{14}_{5}B$,0,13.8 ms,2-,1.185(5),5
$^{15}_{5}B$,0,10.3 ms,3/2-,2.659(15),5
$^{17}_{5}B$,0,5.1 ms,(3/2-),2.55(2),5
$^{9}_{6}C$,0,126 ms,3/2-,1.3914(5),6
$^{11}_{6}C$,0,20.4 m,3/2-,-0.964(1),6
$^{12}_{6}C$,4438,45 fs,2+,NA,6
$^{13}_{6}C$,0,stable,1/2-,+0.7024118(14),6
$^{14}_{6}C$,6728,67 ps,3-,0.82(2),6
$^{15}_{6}C$,0,2.45 s,1/2+,1.32(7),6
$^{12}_{7}N$,0,11.0 ms,1+,0.4573(5),7
$^{13}_{7}N$,0,9.96 m,1/2-,0.3222(4) r,7
$^{14}_{7}N$,0,stable,1+,+0.40376100(6),7
$^{15}_{7}N$,0,stable,1/2-,-0.28318884(5),7
$^{16}_{7}N$,293,91.3 ps,3-,1.60(6),7
$^{17}_{7}N$,0,4.17 s,1/2-,0.352(2),7
$^{13}_{8}O$,0,8..6 ms,3/2-,"1.3891(3) d, K",8
$^{15}_{8}O$,0,122 s,1/2-,0.71951(12) c,8
$^{16}_{8}O$,6130,18.4 ps,3-,+1.668(12),8
$^{17}_{8}O$,0,stable,5/2+,-1.89379(9),8
$^{18}_{8}O$,1982,2.07 ps,2+,-0.57(3),8
$^{19}_{8}O$,0,27 s,5/2+,1.53195(7) c,8
$^{20}_{8}O$,1674,7.4 ps,2+,0.70(3),8
$^{17}_{9}F$,0,64.5 s,5/2+,+4.7213(3),9
$^{18}_{9}F$,937,47 ps,3+,+1.6(2),9
$^{19}_{9}F$,0,stable,1/2+,+2.628868(8),9
$^{20}_{9}F$,0,11 s,2+,+2.09335(9),9
$^{21}_{9}F$,0,4.16 s,5/2+,3.93(5),9
$^{19}_{10}Ne$,0,17.3 s,1/2+,-1.88542(8),10
$^{20}_{10}Ne$,1634,0.7 ps,2+,+1.08(8),10
$^{21}_{10}Ne$,0,stable,3/2+,-0.661797(5),10
$^{22}_{10}Ne$,1275,3.6 ps,2+,+0.65(2),10
$^{23}_{10}Ne$,0,37.6 s,5/2+,-1.08(1),10
$^{20}_{11}Na$,0,0.446 s,2+,+0.3694(2),11
$^{21}_{11}Na$,0,22.5 s,3/2+,+2.83630(10),11
$^{22}_{11}Na$,0,2.60 y,3+,+1.746(3),11
$^{23}_{11}Na$,0,stable,3/2+,+2.217522(2),11
$^{24}_{11}Na$,0,15.0 h,4+,+1.6903(8),11
$^{25}_{11}Na$,0,60 s,5/2+,+3.683(4),11
$^{26}_{11}Na$,0,1.07 s,3+,+2.851(2),11
$^{27}_{11}Na$,0,0.29 s,5/2+,+3.895(5),11
$^{28}_{11}Na$,0,30.5 ms,1+,+2.426(5),11
$^{29}_{11}Na$,0,43 ms,(3/2),+2.449(8),11
$^{30}_{11}Na$,0,53 ms,(2),+2.083(10),11
$^{31}_{11}Na$,0,17 ms,(3/2),+2.305(8),11
$^{23}_{12}Mg$,0,11.3 s,3/2+,0.5364(3),12
$^{24}_{12}Mg$,1369,1.45 ps,2+,+1.02(4),12
$^{24}_{12}Mg$,1369,1.44 ps,2+,NA,12
$^{25}_{12}Mg$,0,stable,5/2+,-0.85545(8),12
$^{26}_{12}Mg$,1809,476 fs,2+,+1.0(3),12
$^{25}_{13}Al$,0,7.18 s,5/2+,3.6455(12),13
$^{26}_{13}Al$,0,7x10*5 y,5+,+2.804(4),13
$^{27}_{13}Al$,0,stable,5/2+,+3.6415069(7),13
$^{28}_{13}Al$,0,2.24 m,3+,3.242(5),13
$^{27}_{14}Si$,0,4.1 s,5/2+,"(-)0,8554(4)",14
$^{28}_{14}Si$,1779,0.49 ps,2+,+1.1(2),14
$^{29}_{14}Si$,0,stable,1/2+,-0.55529(3),14
$^{30}_{14}Si$,2235,0.25 ps,2+,+0.8(2),14
$^{32}_{14}Si$,1941,0.4 ps,2+,NA,14
$^{33}_{14}Si$,0,6.332 s,(3/2+),1.21(3),14
$^{29}_{15}P$,0,4.1 s,1/2+,1.2349(3),15
$^{31}_{15}P$,0,stable,1/2+,+1.13160(3),15
$^{31}_{15}P$,0,14.28 d,1+,-0.2524(3),15
$^{31}_{16}S$,0,2.6 s,1/2+,0.48793(8),16
$^{32}_{16}S$,2230,0.16 ps,2+,+0.9(2),16
$^{33}_{16}S$,0,stable,3/2+,+0.6438212(14),16
$^{34}_{16}S$,2128,0.32 ps,2+,+1.0(2),16
$^{35}_{16}S$,0,87.4 d,3/2+,+1.00(4) or +1.07(4),16
$^{33}_{17}Cl$,0,2.52 s,3/2+,+0.752(2),17
$^{35}_{17}Cl$,0,stable,3/2+,+0.8218743(4),17
$^{36}_{17}Cl$,0,3.0x105 y,2+,+1.28547(5),17
$^{37}_{17}Cl$,0,stable,3/2+,+0.6841236(4),17
$^{38}_{17}Cl$,0,37.3 m,2-,2.05(2),17
$^{33}_{18}Ar$,0,0.174 s,1/2+,-0.723(6),18
$^{35}_{18}Ar$,0,1.78s,3/2+,+0.633(7),18
$^{36}_{18}Ar$,1970,0.28 ps,2+,NA,18
$^{37}_{18}Ar$,0,35.0 d,3/2+,+0.8(3),18
$^{39}_{18}Ar$,0,269 y,7/2-,-1.588(15),18
$^{40}_{18}Ar$,1461,1.12 ps,2+,-0.2(2),18
$^{36}_{19}K$,0,0.34 s,2+,(+)0.548(1),19
$^{37}_{19}K$,0,1.23 s,3/2+,+0.20321(6),19
$^{38}_{19}K$,0,7.61 m,3+,+1.371(6),19
$^{39}_{19}K$,0,stable,3/2+,+0.39147(3),19
$^{40}_{19}K$,0,1.28 x 109 y,4-,-1.298100(3),19
$^{41}_{19}K$,0,stable,3/2+,+0.2148701(2),19
$^{42}_{19}K$,0,12.36 h,2-,-1.1425(6),19
$^{43}_{19}K$,0,22.3 h,3/2+,+0.1633(8),19
$^{44}_{19}K$,0,22.1 m,2-,-0.856(4),19
$^{45}_{19}K$,0,20 m,3/2+,+0.1734(8),19
$^{46}_{19}K$,0,115 s,2-,-1.051(6),19
$^{47}_{19}K$,0,17.5 s,1/2+,+1.933(9),19
$^{39}_{20}Ca$,0,0.86 s,3/2+,1.02168(12),20
$^{40}_{20}Ca$,3737,47 ps,3-,+1.6(3),20
$^{41}_{20}Ca$,0,1.0x105 y,7/2-,-1.594781(9),20
$^{42}_{20}Ca$,1525,0.82 ps,2+,NA,20
$^{43}_{20}Ca$,0,stable,7/2-,-1.3173(6),20
$^{44}_{20}Ca$,1157,2.9 ps,2+,-0.6(2),20
$^{45}_{20}Ca$,0,165 d,7/2-,-1.3274(14),20
$^{47}_{20}Ca$,0,4.5 d,7/2-,-1.38(3),20
$^{41}_{21}Sc$,0,0.59 s,7/2-,+5.431(2) d,21
$^{43}_{21}Sc$,0,3.89 h,7/2-,+4.62(4),21
$^{44}_{21}Sc$,0,3.93 h,2+,+2.56(3),21
$^{45}_{21}Sc$,0,stable,7/2-,+4.756487(2),21
$^{46}_{21}Sc$,0,83.81 d,4+,+3.03(2),21
$^{47}_{21}Sc$,0,3.42 d,7/2-,+5.34(2),21
$^{43}_{22}Ti$,0,0.50 s,7/2-,0.85(2),22
$^{45}_{22}Ti$,0,3.09 h,7/2-,0.095(2),22
$^{46}_{22}Ti$,889,5.36 ps,2+,+1.0(3),22
$^{47}_{22}Ti$,0,stable,5/2-,-0.78848(1),22
$^{48}_{22}Ti$,984,4.29 ps,2+,+0.9(4),22
$^{49}_{22}Ti$,0,stable,7/2-,-1.10417(1),22
$^{50}_{22}Ti$,1554,0.97 ps,2+,2.7(8),22
$^{46}_{23}V$,802,1.02 ms,3+,+1.64(3),23
$^{48}_{23}V$,0,15.94 d,4+,2.012 (11),23
$^{49}_{23}V$,0,330 d,7/2-,4.47(5),23
$^{50}_{23}V$,0,1.5x1017 y,6+,+3.3456889(14),23
$^{51}_{23}V$,0,stable,7/2-,+5.1487057(2),23
$^{49}_{24}Cr$,0,41.9 m,5/2-,0.476(3),24
$^{50}_{24}Cr$,783,9.2 ps,2+,+1.2(2),24
$^{51}_{24}Cr$,0,27.7 d,7/2-,(-)0.934(5),24
$^{52}_{24}Cr$,1434,0.707 ps,2+,+3.0(5),24
$^{53}_{24}Cr$,0,stable,3/2-,-0.47454(3),24
$^{54}_{24}Cr$,835,8.0 ps,2+,+1.1(2),24
$^{51}_{25}Mn$,0,stable,5/2-,3.5683(13),25
$^{52}_{25}Mn$,0,5.80 d,6+,+3.0622(12),25
$^{53}_{25}Mn$,0,3.7x106 y,7/2-,5.024(7),25
$^{54}_{25}Mn$,0,312 d,3+,+3.2819(13),25
$^{55}_{25}Mn$,0,stable,5/2-,3.4532(13),25
$^{56}_{25}Mn$,0,2.58 h,3+,+3.2266(2),25
$^{53}_{26}Fe$,741,64 ns,3/2-,-0.386(15),26
$^{54}_{26}Fe$,1408,0.97 ps,2+,+3.4(8),26
$^{55}_{26}Fe$,931,8.3 ps,5/2-,+2.7(12),26
$^{56}_{26}Fe$,847,6.9 ps,2+,1.22(16),26
$^{57}_{26}Fe$,0,stable,1/2-,+0.09044(7),26
$^{58}_{26}Fe$,811,6.7 ps,2+,+0.9(3),26
$^{59}_{26}Fe$,0,44.6 d,3/2-,-0.3358(4),26
$^{55}_{27}Co$,0,17.5 h,7/2-,+4.822(3),27
$^{56}_{27}Co$,0,78.8 d,4+,3.85(1),27
$^{57}_{27}Co$,0,271 d,7/2-,+4.720(10),27
$^{58}_{27}Co$,0,70.8 d,2+,+4.044(8),27
$^{59}_{27}Co$,0,stable,7/2-,+4.627(9),27
$^{60}_{27}Co$,0,5.271 y,5+,+3.799(8),27
$^{57}_{28}Ni$,0,36 h,3/2-,-0.7975(14),28
$^{58}_{28}Ni$,1454,0.644 ps,2+,-0.1(3),28
$^{59}_{28}Ni$,339,83 ps,5/2-,+0.35(15),28
$^{60}_{28}Ni$,1332,0.713 ps,2+,+0.2(3),28
$^{61}_{28}Ni$,0,stable,3/2-,-0.75002(4),28
$^{62}_{28}Ni$,1173,1.43 ps,2+,+0.68(14),28
$^{63}_{28}Ni$,87,1.72 μs,5/2-,+0.752(3),28
$^{64}_{28}Ni$,1346,0.85 ps,2+,+0.9(3),28
$^{65}_{28}Ni$,0,2.520 h,5/2-,0.69(6),28
$^{60}_{29}Cu$,0,23.4 m,2+,+1.219(3),29
$^{61}_{29}Cu$,0,3.41 h,3/2-,+2.14(4),29
$^{62}_{29}Cu$,0,9.73 m,1+,-0.380(4),29
$^{63}_{29}Cu$,0,stable,3/2-,2.227206(3),29
$^{64}_{29}Cu$,0,12.7 h,1+,-0.217(2),29
$^{65}_{29}Cu$,0,stable,3/2-,+2.3817(3),29
$^{66}_{29}Cu$,0,5.1 m,1+,-0.282(2),29
$^{63}_{30}Zn$,0,38.1 m,3/2-,-0.28164(5),30
$^{64}_{30}Zn$,992,1.75 ps,2+,+0.8(2),30
$^{65}_{30}Zn$,0,244.1 d,5/2-,+0.7690(2),30
$^{66}_{30}Zn$,1039,1.56 ps,2+,+0.5(2),30
$^{67}_{30}Zn$,0,stable,5/2-,+0.875479(9),30
$^{68}_{30}Zn$,1077,0.9 ps,2+,+1.0(2),30
$^{69}_{30}Zn$,439,13.72 h,9/2+,1.157(2),30
$^{70}_{30}Zn$,885,3.2 ps,2+,+0.60(14),30
$^{71}_{30}Zn$,158,3.94 h,9/2+,1.052(6),30
$^{66}_{31}Ga$,66,23 ns,2+,1.01(2),31
$^{67}_{31}Ga$,0,78.3 h,3/2-,+1.8507(3),31
$^{68}_{31}Ga$,0,68.1 m,1+,0.01175(5),31
$^{69}_{31}Ga$,0,stable,3/2-,+2.01659(5),31
$^{70}_{31}Ga$,879,22.7 ns,4-,-0.26(10),31
$^{71}_{31}Ga$,0,stable,3/2-,+2.56227(2),31
$^{72}_{31}Ga$,0,14.1 h,3-,-0.13224(2),31
$^{67}_{32}Ge$,752,111 ns,9/2+,-0.849(12),32
$^{68}_{32}Ge$,3696,0.48 ps,6+,+2.4#,32
$^{69}_{32}Ge$,0,39.0 h,5/2-,0.735(7),32
$^{70}_{32}Ge$,1039,1.32 ps,2+,+0.94(5),32
$^{71}_{32}Ge$,0,11.2 d,1/2-,+0.547(5),32
$^{72}_{32}Ge$,834,3.29 ps,2+,+0.80(7),32
$^{73}_{32}Ge$,0,stable,9/2+,-0.8794677(2),32
$^{74}_{32}Ge$,596,12.5 ps,2+,+0.87(4),32
$^{75}_{32}Ge$,0,82.8 m,1/2-,+0.510(5),32
$^{76}_{32}Ge$,563,18.6 ps,2+,+0.84(5),32
$^{68}_{33}As$,2159,37 ns,"(7,8)-",|g|=0.23(2),33
$^{69}_{33}As$,0,15.2 m,5/2-,+1.58(16),33
$^{70}_{33}As$,0,53 m,4+,+2.1061(2),33
$^{71}_{33}As$,0,65.3 h,5/2-,(+)1.674(2),33
$^{72}_{33}As$,0,26 h,2-,-2.1566(3),33
$^{73}_{33}As$,66,5.0 ns,5/2-,+1.63(10),33
$^{74}_{33}As$,0,17.8 d,2-,-1.597(3),33
$^{75}_{33}As$,0,stable,3/2-,+1.43948(7),33
$^{76}_{33}As$,0,26.3 h,2-,-0.906(5),33
$^{77}_{33}As$,264,304 ps,5/2-,+0.74(2),33
$^{73}_{34}Se$,0,7.1 h,9/2+,0.87(5),34
$^{74}_{34}Se$,635,7.08 ps,2+,NA,34
$^{75}_{34}Se$,0,118.5 d,5/2+,0.67(4),34
$^{76}_{34}Se$,559,11.1 ps,2+,+0.8(2),34
$^{77}_{34}Se$,0,stable,1/2-,+0.5350422(6),34
$^{78}_{34}Se$,614,8.6 ps,2+,+0.8(2),34
$^{79}_{34}Se$,0,<6.5x104 y,7/2+,-1.018(15),34
$^{80}_{34}Se$,666,8.0 ps,2+,+0.8(3),34
$^{82}_{34}Se$,654,11.3 ps,2+,+0.9(3),34
$^{72}_{35}Br$,0,79 s,(3+),0.60(10),35
$^{73}_{35}Br$,241,34.7 ns,3/2-,1.97(13),35
$^{74}_{35}Br$,14,46 m,4(+),1.68(18),35
$^{75}_{35}Br$,0,97 m,3/2-,0.76(18),35
$^{76}_{35}Br$,0,16.1 h,1-,0.54821(2),35
$^{77}_{35}Br$,0,57 h,3/2-,0.92(5),35
$^{78}_{35}Br$,0,6.46 m,1+,0.13(3),35
$^{79}_{35}Br$,0,stable,3/2-,+2.106400(4),35
$^{80}_{35}Br$,0,17.6 m,1+,0.5140(6),35
$^{81}_{35}Br$,0,stable,3/2-,+2.270562(4),35
$^{82}_{35}Br$,0,35.3 h,5-,+1.6270(5),35
$^{84}_{35}Br$,0,31.8 m,2-,1.9(7),35
$^{75}_{36}Kr$,0,4.3 m,5/2+,-0.531(4) d,36
$^{77}_{36}Kr$,0,74.4 m,5/2+,-0.583(3) d,36
$^{78}_{36}Kr$,455,22 ps,2+,+1.08(10),36
$^{79}_{36}Kr$,0,35.04 h,1/2-,+0.536(2) d,36
$^{81}_{36}Kr$,0,2.3 x 10*5 y,7/2+,-0.908(2) d,36
$^{83}_{36}Kr$,0,stable,9/2+,-0.970669(3),36
$^{84}_{36}Kr$,3236,1.84 μs,8+,-1.97(2),36
$^{85}_{36}Kr$,0,10.76 y,9/2+,-1.005(2) d,36
$^{87}_{36}Kr$,0,76.3 m,5/2+,-1.018(5),36
$^{89}_{36}Kr$,0,3.15 m,3/2+,-0.330(3) d,36
$^{91}_{36}Kr$,0,8.57 s,5/2+,-0.583(2) d,36
$^{93}_{36}Kr$,0,1.286 s,1/2+,-0.413(2) d,36
$^{95}_{36}Kr$,0,0.78 s,1/2+,-0.410(3) d,36
$^{76}_{37}Rb$,0,39 s,1(-),-0.3726228(14),37
$^{77}_{37}Rb$,0,3.8 m,3/2-,+0.6544680(16),37
$^{78}_{37}Rb$,103,6.3 m,4-,+2.549(2),37
$^{79}_{37}Rb$,0,23 m,5/2+,+3.3579(12),37
$^{79}_{37}Rb$,97,18.6 ns,9/2+,+5.03(7),37
$^{80}_{37}Rb$,0,30 s,1+,-0.0836(6),37
$^{81}_{37}Rb$,0,4.58 h,3/2-,+2.0595(14),37
$^{82}_{37}Rb$,0,1.25 m,1+,+0.5545083(11),37
$^{83}_{37}Rb$,0,86.2 d,5/2-,+1.4249(8),37
$^{84}_{37}Rb$,0,33 d,2-,-1.324116(2),37
$^{85}_{37}Rb$,0,stable,5/2-,+1.35298(10),37
$^{86}_{37}Rb$,0,18.65 d,2-,-1.6920(14),37
$^{87}_{37}Rb$,0,4.9 10*10y,3/2-,+2.75131(12),37
$^{88}_{37}Rb$,0,17.7 m,2-,0.508(5),37
$^{89}_{37}Rb$,0,15.2 m,3/2-,+2.3836(7),37
$^{90}_{37}Rb$,107,4.26 m,3-,+1.6160(6),37
$^{91}_{37}Rb$,0,58 s,3/2(-),+2.1815(15),37
$^{93}_{37}Rb$,0,5.85 s,5/2-,+1.410(2),37
$^{94}_{37}Rb$,0,2.73 s,3(-),+1.498(2),37
$^{95}_{37}Rb$,0,0.38 s,5/2-,+1.334(3),37
$^{96}_{37}Rb$,0,0.20 s,2+,+1.466(2),37
$^{97}_{37}Rb$,0,0.17 s,3/2-,+1.841(2),37
$^{77}_{38}Sr$,0,9 s,5/2+,-0.348(4),38
$^{79}_{38}Sr$,0,2.25 m,(3/2-),-0.474(4),38
$^{81}_{38}Sr$,0,22.3 m,1/2-,+0.543(4),38
$^{82}_{38}Sr$,2817,3.0 ps,5-,+2(2),38
$^{83}_{38}Sr$,0,32.4 h,7/2+,-0.829(2),38
$^{84}_{38}Sr$,793,3.2 ps,2+,+0.84(9),38
$^{85}_{38}Sr$,0,64.8 d,9/2+,-1.000(2),38
$^{86}_{38}Sr$,1077,1.46 ps,2+,+0.55(10),38
$^{87}_{38}Sr$,0,stable,9/2+,-1.0928(7),38
$^{88}_{38}Sr$,1836,0.152 ps,2+,+2.3(3),38
$^{89}_{38}Sr$,0,50.5 d,5/2+,-1.147(2),38
$^{91}_{38}Sr$,0,9.5 h,5/2+,-0.885(2),38
$^{93}_{38}Sr$,0,7.4 m,5/2+,-0.793(2),38
$^{95}_{38}Sr$,0,10.3 m,1/2-,-0.537(2),38
$^{97}_{38}Sr$,0,0.40 s,1/2-,-0.498(2),38
$^{98}_{38}Sr$,144,2.8 ns,2+,0.76(14),38
$^{99}_{38}Sr$,0,0.269 s,3/2+,-0.261(5),38
$^{83}_{39}Y$,145,171 ps,7/2+,+2.1(6),39
$^{85}_{39}Y$,20,4.9 h,9/2+,6.2(5),39
$^{86}_{39}Y$,0,14.5 h,4-,<0.6,39
$^{87}_{39}Y$,381,12.7 h,9/2+,6.06(7),39
$^{88}_{39}Y$,675,14 ms,8+,+4.87(5),39
$^{89}_{39}Y$,0,stable,1/2-,-0.1374154(3),39
$^{90}_{39}Y$,0,64.1 h,2-,-1.630(8),39
$^{91}_{39}Y$,0,58.5 d,1/2-,0.1641(8),39
$^{86}_{40}Zr$,_,_,5-/7-/9-,avge g = +0.5(2),40
$^{88}_{40}Zr$,2889,1.32 μs,8+,-1.81(2),40
$^{89}_{40}Zr$,0,78.4 h,9/2+,-1.08(2),40
$^{90}_{40}Zr$,2319,0.8 s,5-,6.25(13),40
$^{91}_{40}Zr$,0,stable,5/2+,-1.30362(2),40
$^{92}_{40}Zr$,934,4.85 ps,2+,-0.06(10),40
$^{94}_{40}Zr$,918,7.3 ps,2+,-0.52(12),40
$^{95}_{40}Zr$,0,64.0 d,5/2+,1.13(2),40
$^{97}_{40}Zr$,1264,102 ns,7/2+,+1.37(14),40
$^{99}_{40}Zr$,122,1.07 ns,3/2+,+0.42(6),40
$^{100}_{40}Zr$,213,0.61 ns,2+,0.52(12),40
$^{87}_{87}Nb$,2412,58 ps,17/2-,+7.0(9),87
$^{89}_{41}Nb$,0,2.0 h,9/2+,6.216(5),41
$^{90}_{41}Nb$,0,14.6 h,8+,4.961(4),41
$^{91}_{41}Nb$,1985,10 ns,13/2-,+9.14(13),41
$^{92}_{41}Nb$,135,10.15 d,2+,(+)6.137(4),41
$^{93}_{41}Nb$,0,stable,9/2+,+6.1705(3),41
$^{95}_{41}Nb$,0,35.2 d,9/2+,6.141(5),41
$^{96}_{41}Nb$,0,23.4 h,6+,4.976(4),41
$^{97}_{41}Nb$,0,72.1 m,9/2+,6.153(5),41
$^{88}_{42}Mo$,_,_,"6+,8+",avge g = +0.5(3),42
$^{89}_{42}Mo$,2584,9.5 ns,21/2+,+8.3(4),42
$^{90}_{42}Mo$,2594,16 ps,5-,+5.5(14),42
$^{91}_{42}Mo$,2267,47 ns,21/2+,+8.81(8),42
$^{92}_{42}Mo$,2760,190 ns,8+,+11.30(5),42
$^{93}_{42}Mo$,2425,6.85 h,21/2+,(+)9.93(8),42
$^{94}_{42}Mo$,871,2.9 ps,2+,NA,42
$^{95}_{42}Mo$,0,stable,5/2+,-0.9142(1),42
$^{96}_{42}Mo$,778,3.7 ps,2+,NA,42
$^{97}_{42}Mo$,0,stable,5/2+,-0.9335(1),42
$^{98}_{42}Mo$,787,3.5 ps,2+,+0.7(4),42
$^{99}_{42}Mo$,0,65.9 h,1/2+,0.375(3),42
$^{100}_{42}Mo$,536,10.3 ps,2+,+0.7(4),42
$^{102}_{42}Mo$,297,0.11 ns,2+,0.84(14),42
$^{104}_{42}Mo$,192,0.9 ns,2+,0.4(2),42
$^{107}_{42}Mo$,66,245 ns,_,g = -0.92(3),42
$^{92}_{43}Tc$,2002,3.2 ns,11-,+8.9(3),43
$^{93}_{43}Tc$,0,2.75 h,9/2+,6.32(6),43
$^{94}_{43}Tc$,0,293 m,7+,5.12(5),43
$^{95}_{43}Tc$,0,20.0 h,9/2+,5.94(6),43
$^{96}_{43}Tc$,0,4.28 d,7+,5.09(5),43
$^{99}_{43}Tc$,0,2.1x10*5y,9/2+,+5.6847(4),43
$^{108}_{43}Tc$,>153,100 ns,NA,g = +0.50(4),43
$^{93}_{44}Ru$,2082,2.4 μs,21/2+,+8.97(2),44
$^{94}_{44}Ru$,2498,65 ns,6+,+8.12(5),44
$^{95}_{44}Ru$,0,1.64 h,5/2+,0.861(7),44
$^{96}_{44}Ru$,833,2.7 ps,2+,NA,44
$^{97}_{44}Ru$,0,2.88 d,5/2+,(-)0.787(8),44
$^{98}_{44}Ru$,653,5.9 ps,2+,+0.8(6),44
$^{99}_{44}Ru$,0,stable,5/2+,-0.641(5),44
$^{100}_{44}Ru$,540,12 ps,2+,+1.02(13),44
$^{101}_{44}Ru$,0,stable,5/2+,-0.719(6),44
$^{102}_{44}Ru$,475,18 ps,2+,+0.74(6),44
$^{103}_{44}Ru$,0,39.4 d,3/2+,0.206(3),44
$^{104}_{44}Ru$,358,58 ps,2+,+0.82(10),44
$^{105}_{44}Ru$,0,4.44h,3/2+,(-)0.32(+8/-20),44
$^{109}_{44}Ru$,>95,780 ns,NA,g = -0.22(1),44
$^{95}_{45}Rh$,2236,19 ns,17/2-,+10.9(3),45
$^{99}_{45}Rh$,65,4.7 h,9/2+,5.62(6),45
$^{100}_{45}Rh$,75,215 ns,2+,+4.324(8),45
