Nucleus,Ex,T1/2,I,μ(nm),A,Z,symbol,latex
73 Ta 178,0 + x,9.3 m,1+,2.740(12),178,73,Ta,$^{178}_{73}Ta$
73 Ta 179,0,1.82 y,7/2+,+2.289(9),179,73,Ta,$^{179}_{73}Ta$
73 Ta 180,75,>1.2x10*15y,9-,+4.825(11),180,73,Ta,$^{180}_{73}Ta$
73 Ta 181,0,stable,7/2+,+2.3705(7),181,73,Ta,$^{181}_{73}Ta$
73 Ta 182,0,115 d,3-,3.02(3),182,73,Ta,$^{182}_{73}Ta$
73 Ta 183,0,5.1 d,7/2+,(+)2.36(3),183,73,Ta,$^{183}_{73}Ta$
74 W 178,199,213 ps,2+,+0.50(10),178,74,W,$^{178}_{74}W$
74 W 179,3348,750 ns,35/2-,,179,74,W,$^{179}_{74}W$
74 W 180,104,1.22 ns,2+,0.51(3),180,74,W,$^{180}_{74}W$
74 W 182,100,1.37,2+,0.52(2),182,74,W,$^{182}_{74}W$
74 W 183,0,stable,1/2-,+0.11778476(9),183,74,W,$^{183}_{74}W$
74 W 184,111,1.25 ns,2+,+0.578(14),184,74,W,$^{184}_{74}W$
74 W 186,123,1.05 ns,2+,0.62(3),186,74,W,$^{186}_{74}W$
74 W 187,0,23.9 h,3/2-,0.621(15),187,74,W,$^{187}_{74}W$
75 Re 179,0,19.7 m,(5/2)+,2.8(4),179,75,Re,$^{179}_{75}Re$
75 Re 180,0,2.4 m,(1)-,1.6(2),180,75,Re,$^{180}_{75}Re$
75 Re 181,0,19.9 h,5/2+,3.19(7),181,75,Re,$^{181}_{75}Re$
75 Re 182,0,64.0 h,7+,2.84(6),182,75,Re,$^{182}_{75}Re$
75 Re 183,0,70.0 d,5/2+,3.168(15),183,75,Re,$^{183}_{75}Re$
75 Re 184,0,38.0 d,3-,(+)2.53(5),184,75,Re,$^{184}_{75}Re$
75 Re 185,0,stable,5/2+,+3.1871(3),185,75,Re,$^{185}_{75}Re$
75 Re 186,0,90.6 h,1-,+1.739(6),186,75,Re,$^{186}_{75}Re$
75 Re 187,0,4 x 10*10 y,5/2+,+3.2197(3),187,75,Re,$^{187}_{75}Re$
75 Re 188,0,16.9 h,1-,+1.788(5),188,75,Re,$^{188}_{75}Re$
76 Os 182,7049,150 ns,25(+),+10.6(2),182,76,Os,$^{182}_{76}Os$
76 Os 183,0,13.0 h,9/2+,(-)0.794(14),183,76,Os,$^{183}_{76}Os$
76 Os 184,120,1.18 ns,2+,,184,76,Os,$^{184}_{76}Os$
76 Os 186,137,830 ps,2+,+0.56(2),186,76,Os,$^{186}_{76}Os$
76 Os 187,0,stable,1/2-,+0.06465189(6),187,76,Os,$^{187}_{76}Os$
76 Os 188,155,710 ps,2+,+0.58(2),188,76,Os,$^{188}_{76}Os$
76 Os 189,0,stable,3/2-,+0.659933(4),189,76,Os,$^{189}_{76}Os$
76 Os 190,187,366 ps,2+,+0.70(2),190,76,Os,$^{190}_{76}Os$
76 Os 191,0,15.4 d,9/2-,+0.96(3),191,76,Os,$^{191}_{76}Os$
76 Os 192,206,289 ps,2+,+0.79(2),192,76,Os,$^{192}_{76}Os$
76 Os 193,0,30.5 h,3/2-,0.730(2),193,76,Os,$^{193}_{76}Os$
77 Ir 180,0,1.5 m,unknown,2.2(2) [I=3],180,77,Ir,$^{180}_{77}Ir$
77 Ir 182,0,15 m,unknown,1.91(9) [I=2],182,77,Ir,$^{182}_{77}Ir$
77 Ir 183,0,55 m,"5/2, 7/2",2.36(8) [I=5/2],183,77,Ir,$^{183}_{77}Ir$
77 Ir 184,0,3.14 h,5-,0.696(5),184,77,Ir,$^{184}_{77}Ir$
77 Ir 185,0,14.4 h,5/2-,2.605(13),185,77,Ir,$^{185}_{77}Ir$
77 Ir 186,0,16.64 h,5+,3.88(5),186,77,Ir,$^{186}_{77}Ir$
77 Ir 187,0,10.5 h,3/2+,,187,77,Ir,$^{187}_{77}Ir$
77 Ir 188,0,40.5 h,1(-),0.302(10),188,77,Ir,$^{188}_{77}Ir$
77 Ir 189,0,13.1 d,3/2+,"0.13(+8,-4)",189,77,Ir,$^{189}_{77}Ir$
77 Ir 190,0,11.8 d,(4)+,0.04(1),190,77,Ir,$^{190}_{77}Ir$
77 Ir 191,0,stable,3/2+,+0.1507(6),191,77,Ir,$^{191}_{77}Ir$
77 Ir 193,0,stable,3/2+,+0.1637(6),193,77,Ir,$^{193}_{77}Ir$
77 Ir 194,0,19.4 h,1-,0.39(1),194,77,Ir,$^{194}_{77}Ir$
78 Pt 183,0,6.5 m,1/2-,+0.51(3),183,78,Pt,$^{183}_{78}Pt$
78 Pt 184,163,376 ps,2+,+0.56(6),184,78,Pt,$^{184}_{78}Pt$
78 Pt 185,0,70.9 m,9/2+,0.774(14),185,78,Pt,$^{185}_{78}Pt$
78 Pt 186,192,260 ps,2+,+0.54(6),186,78,Pt,$^{186}_{78}Pt$
78 Pt 187,0,2.35 h,3/2-,0.408(8),187,78,Pt,$^{187}_{78}Pt$
78 Pt 188,266,64 ps,2+,+0.58(8),188,78,Pt,$^{188}_{78}Pt$
78 Pt 189,0,10.9 h,3/2-,-0.421(5),189,78,Pt,$^{189}_{78}Pt$
78 Pt 190,296,60 ps,2+,+0.57(3),190,78,Pt,$^{190}_{78}Pt$
78 Pt 191,0,2.9 d,3/2-,-0.501(5),191,78,Pt,$^{191}_{78}Pt$
78 Pt 192,317,43.7 ps,2+,+0.57(3),192,78,Pt,$^{192}_{78}Pt$
78 Pt 193,0,50 y,1/2-,+0.603(8),193,78,Pt,$^{193}_{78}Pt$
78 Pt 194,328,41.8 ps,2+,+0.60(3),194,78,Pt,$^{194}_{78}Pt$
78 Pt 195,0,stable,1/2-,+0.60952(6),195,78,Pt,$^{195}_{78}Pt$
78 Pt 196,356,34 ps,2+,+0.59(5),196,78,Pt,$^{196}_{78}Pt$
78 Pt 197,0,18.3 h,1/2-,0.51(2),197,78,Pt,$^{197}_{78}Pt$
78 Pt 198,407,22.3 ps,2+,+0.63(2),198,78,Pt,$^{198}_{78}Pt$
79 Au 182,0,21 s,unknown,1.30(10) [I=2],182,79,Au,$^{182}_{79}Au$
79 Au 183,0,42 s,5/2-,+1.97(2),183,79,Au,$^{183}_{79}Au$
79 Au 184,0,21 s,5,+2.07(2),184,79,Au,$^{184}_{79}Au$
79 Au 185,0,4.2 m,5/2-,+2.17(2),185,79,Au,$^{185}_{79}Au$
79 Au 186,0,10.7 m,3-,-1.28(3),186,79,Au,$^{186}_{79}Au$
79 Au 187,0,8.4 m,1/2+,+0.535(15),187,79,Au,$^{187}_{79}Au$
79 Au 188,0,8.8 m,1-,-0.07(3),188,79,Au,$^{188}_{79}Au$
79 Au 189,0,28.7 m,1/2+,+0.494(14),189,79,Au,$^{189}_{79}Au$
79 Au 190,0,42.8 m,1-,-0.065(7),190,79,Au,$^{190}_{79}Au$
79 Au 191,0,3.18 h,3/2+,+0.1369(9),191,79,Au,$^{191}_{79}Au$
79 Au 192,0,5.0 h,1-,-0.0107(15),192,79,Au,$^{192}_{79}Au$
79 Au 193,0,17.65 h,3/2+,0.1396(6),193,79,Au,$^{193}_{79}Au$
79 Au 194,0,39.5 h,1-,+0.0763(13),194,79,Au,$^{194}_{79}Au$
79 Au 195,0,183 d,3/2+,0.1487(6),195,79,Au,$^{195}_{79}Au$
79 Au 196,0,6.18 d,2-,+0.580(15),196,79,Au,$^{196}_{79}Au$
79 Au 197,0,stable,3/2+,+0.145746(9),197,79,Au,$^{197}_{79}Au$
79 Au 198,0,2.696 d,2-,+0.64(2),198,79,Au,$^{198}_{79}Au$
79 Au 199,0,3.14 d,3/2+,+0.261(2),199,79,Au,$^{199}_{79}Au$
79 Au 200,962,18.7 h,12-,5.90(9),200,79,Au,$^{200}_{79}Au$
80 Hg 181,0,3.6 s,1/2(-),+0.5071(7),181,80,Hg,$^{181}_{80}Hg$
80 Hg 183,0,8.8 s,1/2-,+0.524(5),183,80,Hg,$^{183}_{80}Hg$
80 Hg 185,0,55 s,1/2-,+0.509(4),185,80,Hg,$^{185}_{80}Hg$
80 Hg 187,0,2.4 m,13/2+,-1.044(11),187,80,Hg,$^{187}_{80}Hg$
80 Hg 188,2724,135 ns,12+,-2.02(12),188,80,Hg,$^{188}_{80}Hg$
80 Hg 189,0,7.6 m,3/2-,-0.6086(8),189,80,Hg,$^{189}_{80}Hg$
80 Hg 190,2621,21 ns,12+,-2.5(2),190,80,Hg,$^{190}_{80}Hg$
80 Hg 191,0,49 m,3/2-,-0.618(11),191,80,Hg,$^{191}_{80}Hg$
80 Hg 193,0,3.80 h,3/2-,-0.6276(2),193,80,Hg,$^{193}_{80}Hg$
80 Hg 194,2424,2.9 ns,10+,g(avge) = -0.24(4),194,80,Hg,$^{194}_{80}Hg$
80 Hg 195,0,9.9 h,1/2-,+0.5414749(14),195,80,Hg,$^{195}_{80}Hg$
80 Hg 196,1841,5.2 ns,7-,-0.29(13),196,80,Hg,$^{196}_{80}Hg$
80 Hg 197,0,64.1 h,1/2-,+0.5273744(9) d,197,80,Hg,$^{197}_{80}Hg$
80 Hg 198,412,23 ps,2+,+0.76(6),198,80,Hg,$^{198}_{80}Hg$
80 Hg 199,0,stable,1/2-,+0.5058855(9),199,80,Hg,$^{199}_{80}Hg$
80 Hg 200,368,46.6 ps,2+,+0.65(5),200,80,Hg,$^{200}_{80}Hg$
80 Hg 201,0,stable,3/2-,-0.5602257(14),201,80,Hg,$^{201}_{80}Hg$
80 Hg 202,440,27.3 ps,2+,+0.78(6),202,80,Hg,$^{202}_{80}Hg$
80 Hg 203,0,46.8 d,5/2-,+0.84895(13),203,80,Hg,$^{203}_{80}Hg$
80 Hg 204,437,40.2 ps,2+,+0.9(2),204,80,Hg,$^{204}_{80}Hg$
80 Hg 205,0,5.2 m,1/2-,+0.60089(10),205,80,Hg,$^{205}_{80}Hg$
80 Hg 206,2102,2.15 μs,5-,+5.45(5),206,80,Hg,$^{206}_{80}Hg$
81 Tl 187,0,51 s,(1/2+),1.55(6),187,81,Tl,$^{187}_{81}Tl$
81 Tl 188,0 + x,71 s,7+,+0.483(8),188,81,Tl,$^{188}_{81}Tl$
81 Tl 189,281,1.4 m,9/2-,+3.878(6),189,81,Tl,$^{189}_{81}Tl$
81 Tl 190,0 + x,2.6 m,2-,+0.254(2),190,81,Tl,$^{190}_{81}Tl$
81 Tl 191,0,2.2 m,1/2+,+1.588(4),191,81,Tl,$^{191}_{81}Tl$
81 Tl 192,0 + x,9.6 m,2-,+0.200(3),192,81,Tl,$^{192}_{81}Tl$
81 Tl 193,0,21.6 m,1/2+,+1.591(2),193,81,Tl,$^{193}_{81}Tl$
81 Tl 194,0,34 m,2-,+0.140(3),194,81,Tl,$^{194}_{81}Tl$
81 Tl 195,0,1.16 h,1/2+,+1.58(4),195,81,Tl,$^{195}_{81}Tl$
81 Tl 196,0,1.84 h,2-,+0.072(3),196,81,Tl,$^{196}_{81}Tl$
81 Tl 197,0,2.84 h,1/2+,+1.58(2),197,81,Tl,$^{197}_{81}Tl$
81 Tl 198,0,5.3 h,2-,0.00(1),198,81,Tl,$^{198}_{81}Tl$
81 Tl 199,0,7.4 h,1/2+,+1.60(2),199,81,Tl,$^{199}_{81}Tl$
81 Tl 200,0,26.1 h,2-,0.04(1),200,81,Tl,$^{200}_{81}Tl$
81 Tl 201,0,73 h,1/2+,+1.605(2),201,81,Tl,$^{201}_{81}Tl$
81 Tl 202,0,12.2 d,2-,0.06(1),202,81,Tl,$^{202}_{81}Tl$
81 Tl 203,0,stable,1/2+,+1.62225787(12),203,81,Tl,$^{203}_{81}Tl$
81 Tl 204,0,3.78 y,2-,0.09(1),204,81,Tl,$^{204}_{81}Tl$
81 Tl 205,0,stable,1/2+,+1.63821461(12),205,81,Tl,$^{205}_{81}Tl$
81 Tl 206,1405,78 ns,(5)+,+4.27(6),206,81,Tl,$^{206}_{81}Tl$
81 Tl 207,0,4.77 m,1/2+,+1.876(5),207,81,Tl,$^{207}_{81}Tl$
81 Tl 208,0,3.05 m,5(+),+0.292(13),208,81,Tl,$^{208}_{81}Tl$
82 Pb 191,138,2.18 m,13/2+,-1.172(7),191,82,Pb,$^{191}_{82}Pb$
82 Pb 192,2581+d,1.07 μs,12+,2.08(2),192,82,Pb,$^{192}_{82}Pb$
82 Pb 193,100,5.8 m,13/2+,-1.150(7),193,82,Pb,$^{193}_{82}Pb$
82 Pb 194,2407,18 ns,9-,-0.6(4),194,82,Pb,$^{194}_{82}Pb$
82 Pb 195,203,15.0 m,13/2+,-1.128(7),195,82,Pb,$^{195}_{82}Pb$
82 Pb 196,1797,185 ns,5-,+0.490(15),196,82,Pb,$^{196}_{82}Pb$
82 Pb 197,0,8 m,3/2-,-1.075(2),197,82,Pb,$^{197}_{82}Pb$
82 Pb 198,1823,49 ns,5-,+0.38(3),198,82,Pb,$^{198}_{82}Pb$
82 Pb 199,0,1.5 h,3/2-,-1.0742(12),199,82,Pb,$^{199}_{82}Pb$
82 Pb 200,2154,44 ns,7-,-0.21(10),200,82,Pb,$^{200}_{82}Pb$
82 Pb 201,0,9.33 h,5/2-,+0.6753(5),201,82,Pb,$^{201}_{82}Pb$
82 Pb 202,1384,1.97 ns,4+,+0.008(16),202,82,Pb,$^{202}_{82}Pb$
82 Pb 203,0,51.9 h,5/2-,+0.6864(5),203,82,Pb,$^{203}_{82}Pb$
82 Pb 204,899,2.94 ps,2+,<0.02,204,82,Pb,$^{204}_{82}Pb$
82 Pb 205,0,1.5x10*7y,5/2-,+0.7117(4),205,82,Pb,$^{205}_{82}Pb$
82 Pb 206,803,8.4 ps,2+,<0.03,206,82,Pb,$^{206}_{82}Pb$
82 Pb 207,0,stable,1/2-,+0.592583(9),207,82,Pb,$^{207}_{82}Pb$
82 Pb 208,2615,15 ps,3-,+1.9(2),208,82,Pb,$^{208}_{82}Pb$
82 Pb 209,0,3.25 h,9/2+,-1.4735(16),209,82,Pb,$^{209}_{82}Pb$
82 Pb 211,0,36.1 m,9/2+,-1.4037(8),211,82,Pb,$^{211}_{82}Pb$
83 Bi 199,0,11.8 h,9/2-,4.6(4),199,83,Bi,$^{199}_{83}Bi$
83 Bi 201,0,108 m,9/2-,4.8(3),201,83,Bi,$^{201}_{83}Bi$
83 Bi 202,0,1.72 h,5+,4.9(3),202,83,Bi,$^{202}_{83}Bi$
83 Bi 203,0,11.8 h,9/2-,+4.017(13),203,83,Bi,$^{203}_{83}Bi$
83 Bi 204,0,11.22 h,6+,+4.322(15),204,83,Bi,$^{204}_{83}Bi$
83 Bi 205,0,15.3 d,9/2-,+4.605(7),205,83,Bi,$^{205}_{83}Bi$
83 Bi 206,0,6.243 d,6+,+4.361(8),206,83,Bi,$^{206}_{83}Bi$
83 Bi 207,0,32.2 y,9/2-,4.081(9),207,83,Bi,$^{207}_{83}Bi$
83 Bi 208,0,3.7x10*5 y,5+,+4.633(10),208,83,Bi,$^{208}_{83}Bi$
83 Bi 209,0,stable,9/2-,+4.1103(5) d,209,83,Bi,$^{209}_{83}Bi$
83 Bi 210,0,5.01 d,1-,-0.04451(6),210,83,Bi,$^{210}_{83}Bi$
83 Bi 211,405,315 ps,7/2-,+4.5(7),211,83,Bi,$^{211}_{83}Bi$
83 Bi 212,0,60.6 m,1(-),0.41(5),212,83,Bi,$^{212}_{83}Bi$
83 Bi 213,0,45.6 m,9/2-,3.89(9),213,83,Bi,$^{213}_{83}Bi$
84 Po 198,1854,29 ns,8+,+7.3(2),198,84,Po,$^{198}_{84}Po$
84 Po 199,310,4.2 m,13/2+,0.99(7),199,84,Po,$^{199}_{84}Po$
84 Po 200,1774,61 ns,8+,+7.44(16),200,84,Po,$^{200}_{84}Po$
84 Po 201,0,15.3 m,3/2-,0.94(8),201,84,Po,$^{201}_{84}Po$
84 Po 202,1712,110 ns,8+,7.45(12),202,84,Po,$^{202}_{84}Po$
84 Po 203,0,36.7 m,5/2-,0.74(6),203,84,Po,$^{203}_{84}Po$
84 Po 204,1639,158 ns,8+,+7.38(10),204,84,Po,$^{204}_{84}Po$
84 Po 205,0,1.66 h,5/2-,+0.76(6),205,84,Po,$^{205}_{84}Po$
84 Po 206,1586,212 ns,8+,+7.34(7),206,84,Po,$^{206}_{84}Po$
84 Po 207,0,5.79 h,5/2-,+0.79(6),207,84,Po,$^{207}_{84}Po$
84 Po 208,1524,4.3 ns,6+,+5.3(6),208,84,Po,$^{208}_{84}Po$
84 Po 209,0,102 y,1/2-,0.68(8),209,84,Po,$^{209}_{84}Po$
84 Po 210,1473,43 ns,6+,5.48(5),210,84,Po,$^{210}_{84}Po$
84 Po 211,1065,16 ns,15/2-,-0.38(15),211,84,Po,$^{211}_{84}Po$
85 At 207,2117,108 ns,25/2+,+3.75(13),207,85,At,$^{207}_{85}At$
85 At 208,1090,48 ns,10-,+2.69(3),208,85,At,$^{208}_{85}At$
85 At 209,1428,26 ns,21/2-,+10.0(2),209,85,At,$^{209}_{85}At$
85 At 210,1363,28.4 ns,11+,+9.8(3),210,85,At,$^{210}_{85}At$
85 At 211,1417,35.1 ns,21/2-,+9.56(9),211,85,At,$^{211}_{85}At$
85 At 212,888,19.4 ns,11+,5.94(11),212,85,At,$^{212}_{85}At$
85 At 217,0,32 ms,9/2-,3.8(2),217,85,At,$^{217}_{85}At$
86 Rn 203,361,28 s,(13/2+),-0.960(11),203,86,Rn,$^{203}_{86}Rn$
86 Rn 205,0,2.83 m,5/2-,+0.802(9),205,86,Rn,$^{205}_{86}Rn$
86 Rn 206,1922,13.5 ns,8+,6.6(4),206,86,Rn,$^{206}_{86}Rn$
86 Rn 207,0,9.3 m,5/2-,+0.816(9),207,86,Rn,$^{207}_{86}Rn$
86 Rn 208,1826,490 ns,8+,6.98(8),208,86,Rn,$^{208}_{86}Rn$
86 Rn 209,0,29 m,5/2-,(+)0.8388(4),209,86,Rn,$^{209}_{86}Rn$
86 Rn 210,1665+x,644 ns,(8+),7.18(6),210,86,Rn,$^{210}_{86}Rn$
86 Rn 211,0,14.6 h,1/2-,+0.601(7),211,86,Rn,$^{211}_{86}Rn$
86 Rn 212,1502,8.8 ns,4+,4.0(2),212,86,Rn,$^{212}_{86}Rn$
86 Rn 213,1664,29 ns,21/2+,4.73(11),213,86,Rn,$^{213}_{86}Rn$
86 Rn 219,0,3.96 s,5/2+,-0.442(5),219,86,Rn,$^{219}_{86}Rn$
86 Rn 221,0,25 m,(7/2+),-0.020(1),221,86,Rn,$^{221}_{86}Rn$
86 Rn 222,186,0.32 ns,2+,+0.92(14),222,86,Rn,$^{222}_{86}Rn$
86 Rn 223,0,23.2 m,7/2,-0.776(8),223,86,Rn,$^{223}_{86}Rn$
86 Rn 225,0,4.5 m,7/2-,-0.696(8),225,86,Rn,$^{225}_{86}Rn$
87 Fr 207,0,14.8 s,9/2-,+3.89(8),207,87,Fr,$^{207}_{87}Fr$
87 Fr 208,0,58.6 s,7+,+4.75(10),208,87,Fr,$^{208}_{87}Fr$
87 Fr 209,0,50 s,9/2-,+3.95(8),209,87,Fr,$^{209}_{87}Fr$
87 Fr 210,0,3.2 m,6+,+4.40(9),210,87,Fr,$^{210}_{87}Fr$
87 Fr 211,0,3.1 m,9/2-,+4.00(8),211,87,Fr,$^{211}_{87}Fr$
87 Fr 212,0,19.3 m,5+,+4.62(9),212,87,Fr,$^{212}_{87}Fr$
87 Fr 213,0,34.7 s,9/2-,+4.02(8),213,87,Fr,$^{213}_{87}Fr$
87 Fr 214,640,103 ns,11+,"+5.62(7) K, d",214,87,Fr,$^{214}_{87}Fr$
87 Fr 215,1500+/-75,4 ns,(21/2)+/-1,g=0.33(10),215,87,Fr,$^{215}_{87}Fr$
87 Fr 220,0,27.4 s,1+,-0.67(1),220,87,Fr,$^{220}_{87}Fr$
87 Fr 221,0,4.8 m,5/2-,+1.58(3),221,87,Fr,$^{221}_{87}Fr$
87 Fr 222,0,14.2 m,2-,+0.63(1),222,87,Fr,$^{222}_{87}Fr$
87 Fr 223,0,21.8 m,3/2(-),+1.17(2),223,87,Fr,$^{223}_{87}Fr$
87 Fr 224,0,3.3 m,1(-),+0.40(1),224,87,Fr,$^{224}_{87}Fr$
87 Fr 225,0,3.9 m,3/2-,+1.07(2),225,87,Fr,$^{225}_{87}Fr$
87 Fr 226,0,48 s,1,+0.0712(14),226,87,Fr,$^{226}_{87}Fr$
87 Fr 227,0,2.4 m,1/2+,+1.50(3),227,87,Fr,$^{227}_{87}Fr$
87 Fr 228,0,39 s,2-,-0.76(2),228,87,Fr,$^{228}_{87}Fr$
88 Ra 209,0,4.7 s,5/2-,+0.865(13),209,88,Ra,$^{209}_{88}Ra$
88 Ra 211,0,13s,5/2-,+0.878(4),211,88,Ra,$^{211}_{88}Ra$
88 Ra 212,1958,10.9 μs,8+,7.10(7),212,88,Ra,$^{212}_{88}Ra$
88 Ra 213,0,2.7 m,1/2-,+0.613(2),213,88,Ra,$^{213}_{88}Ra$
88 Ra 214,1865,67μs,8+,7.08(3),214,88,Ra,$^{214}_{88}Ra$
88 Ra 215,3738,0.59 μs,(43/2-),15.78 (15),215,88,Ra,$^{215}_{88}Ra$
88 Ra 216,1508,0.5 ns,6+,g(avge) = 0.1(3),216,88,Ra,$^{216}_{88}Ra$
88 Ra 221,0,30 s,5/2-,-0.180(2),221,88,Ra,$^{221}_{88}Ra$
88 Ra 223,0,11.44 d,3/2+,+0.271(2),223,88,Ra,$^{223}_{88}Ra$
88 Ra 224,84,0.74 ns,2+,+0.9(2),224,88,Ra,$^{224}_{88}Ra$
88 Ra 225,0,14.8 d,1/2-,-0.7338(15),225,88,Ra,$^{225}_{88}Ra$
88 Ra 227,0,42.2 m,3/2+,-0.404(2),227,88,Ra,$^{227}_{88}Ra$
88 Ra 229,0,4.0 m,5/2(+),+0.503(3),229,88,Ra,$^{229}_{88}Ra$
89 Ac 215,1621,30 ns,17/2-,7.82(16),215,89,Ac,$^{215}_{89}Ac$
89 Ac 217,0,69 ns,9/2-,+3.83(5),217,89,Ac,$^{217}_{89}Ac$
89 Ac 227,0,21.77 y,3/2-,+1.1(1),227,89,Ac,$^{227}_{89}Ac$
90 Th 229,0,7340 y,5/2+,+0.46(4),229,90,Th,$^{229}_{90}Th$
90 Th 232,gsband,,,g(18-24)>g(10-16),232,90,Th,$^{232}_{90}Th$
91 Pa 228,0,22 h,(3+),3.5(5),228,91,Pa,$^{228}_{91}Pa$
91 Pa 230,0,17.4 d,(2-),2.0(2),230,91,Pa,$^{230}_{91}Pa$
91 Pa 231,0,3.3x10*4y,(2-),2.01(2),231,91,Pa,$^{231}_{91}Pa$
91 Pa 233,0,27.0 d,3/2-,4.0(7),233,91,Pa,$^{233}_{91}Pa$
92 U 233,0,1.6x10*5y,5/2+,μ/μ(235U),233,92,U,$^{233}_{92}U$
92 U 235,0,7.0x10*8y,7/2-,-0.38(3),235,92,U,$^{235}_{92}U$
92 U 238,gsband,,,g(18-24)>g(10-16),238,92,U,$^{238}_{92}U$
93 Np 237,0,2.1x10*6y,5/2+,+3.14(4),237,93,Np,$^{237}_{93}Np$
93 Np 239,75,1.40 ns,5/2-,+2.0(3),239,93,Np,$^{239}_{93}Np$
94 Pu 237,~2300,85 ns,(3/2),-0.68(5),237,94,Pu,$^{237}_{94}Pu$
94 Pu 239,0,2.4x10*4y,1/2+,+0.203(4),239,94,Pu,$^{239}_{94}Pu$
94 Pu 241,0,14.4 y,5/2+,-0.683(15),241,94,Pu,$^{241}_{94}Pu$
95 Am 239,~2500,163 ns,(7/2+),(+)2.6(2),239,95,Am,$^{239}_{95}Am$
95 Am 241,0,432.7 y,5/2-,+1.58(1),241,95,Am,$^{241}_{95}Am$
95 Am 242,0,16.0 h,1-,+0.3879(15),242,95,Am,$^{242}_{95}Am$
95 Am 243,0,7370 y,5/2-,μ/μ(241Am) = 0.951(7),243,95,Am,$^{243}_{95}Am$
96 Cm 243,0,28.5 y,5/2+,0.40(8),243,96,Cm,$^{243}_{96}Cm$
96 Cm 245,0,8500 y,7/2+,0.5(1),245,96,Cm,$^{245}_{96}Cm$
96 Cm 247,0,1.6x10*7y,9/2-,0.36(7),247,96,Cm,$^{247}_{96}Cm$
97 Bk 249,0,320 d,7/2+,2.0(4),249,97,Bk,$^{249}_{97}Bk$
99 Es 253,0,20.4 d,7/2+,+4.10(7),253,99,Es,$^{253}_{99}Es$
99 Es 254,78,39.3 h,2+,2.90(7),254,99,Es,$^{254}_{99}Es$
